net,length_um
stage_3.read_output_3\[33\],17.44
stage_3._0540_,17.4
stage_3._0472_,17.38
stage_3._0357_,17.37
input_2.D_OUT\[45\],17.34
stage_2.read_output_2\[111\],17.34
stage_3._0203_,17.34
stage_3._0590_,17.34
stage_3._0559_,17.28
input_1.D_OUT\[32\],17.26
stage_3._0791_,17.26
input_1.D_OUT\[42\],17.24
input_2.D_OUT\[30\],17.24
stage_3._0839_,17.24
stage_4._0363_,17.24
stage_3._0841_,17.2
stage_4._0482_,17.2
stage_4._0638_,17.2
input_1.D_OUT\[16\],17.18
input_1.D_OUT\[18\],17.18
stage_4._0381_,17.18
input_1.D_OUT\[41\],17.16
stage_2._0470_,17.16
stage_3._0280_,17.16
input_1.D_OUT\[48\],17.14
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[2\],17.14
stage_3._0059_,17.1
stage_3._0132_,17.1
stage_3._0519_,17.07
_090_,17.04
stage_3._0427_,17.04
stage_3._0165_,17.02
stage_4._0566_,17.02
stage_3.read_output_3\[8\],16.98
net248,16.96
_148_,16.94
stage_4._0574_,16.92
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[18\],16.9
stage_2.read_output_2\[72\],16.88
stage_3._0267_,16.88
stage_3._0348_,16.87
stage_4._0168_,16.84
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[5\],16.8
input_2.D_OUT\[39\],16.76
stage_2._0326_,16.74
stage_2._0311_,16.72
stage_4._0582_,16.72
net202,16.72
stage_3._0303_,16.7
stage_3._0543_,16.68
stage_3._0483_,16.66
input_1.D_OUT\[40\],16.64
stage_3._0416_,16.64
stage_3._0801_,16.64
stage_3._0197_,16.63
stage_4._0342_,16.62
net244,16.62
stage_2._0383_,16.6
stage_4._0068_,16.6
stage_3._0811_,16.59
stage_2.input_fifo$D_OUT\[145\],16.58
stage_2._0182_,16.56
stage_3._0255_,16.56
input_1.D_OUT\[22\],16.555
stage_3._0380_,16.54
stage_3._0689_,16.48
input_2.D_OUT\[17\],16.44
stage_4._0297_,16.44
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[23\],16.42
stage_2._0547_,16.4
stage_3._0748_,16.4
stage_4._0498_,16.4
stage_4._0538_,16.4
stage_4._0186_,16.38
stage_3._0317_,16.36
stage_3._0558_,16.36
_153_,16.32
stage_2._0569_,16.32
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[58\],16.32
stage_4._0324_,16.3
stage_3._0048_,16.28
_062_,16.26
input_2.D_OUT\[16\],16.26
stage_4._0535_,16.24
stage_2._0030_,16.22
stage_2._0053_,16.22
stage_3._0294_,16.22
stage_2._0510_,16.18
stage_3.read_output_3\[16\],16.16
stage_4._0485_,16.16
stage_3._0235_,16.14
stage_3._0015_,16.13
_024_,16.12
_005_,16.1
stage_3._0408_,16.1
stage_3._0848_,16.1
stage_4._0055_,16.1
input_2.D_OUT\[1\],16.06
stage_3._0291_,16.06
net387,16.02
_109_,15.98
stage_2.RDY_feed,15.98
stage_2._0340_,15.98
stage_3._0134_,15.98
net171,15.98
stage_4._0053_,15.96
stage_3._0341_,15.92
net385,15.9
_138_,15.88
stage_3._0308_,15.88
stage_4._0064_,15.88
stage_3._0718_,15.84
stage_3._0248_,15.8
stage_3.input_fifo$D_OUT\[20\],15.78
stage_4._0595_,15.78
input_2.D_OUT\[13\],15.76
stage_2._0360_,15.76
_162_,15.74
stage_3._0213_,15.74
stage_4._0416_,15.74
stage_2._0009_,15.7
stage_4._0317_,15.7
stage_4._0493_,15.7
stage_3.read_output_3\[58\],15.66
stage_3._0849_,15.64
stage_3.read_output_3\[43\],15.64
stage_4._0310_,15.64
stage_2.input_fifo$D_OUT\[143\],15.6
stage_4._0508_,15.6
_015_,15.52
_087_,15.52
stage_2._0330_,15.52
stage_3._0842_,15.5
stage_3.read_output_3\[20\],15.5
stage_3.read_output_3\[49\],15.5
stage_4._0599_,15.48
stage_3._0528_,15.475
stage_2._0515_,15.44
stage_4._0309_,15.44
stage_4._0123_,15.43
stage_4._0639_,15.38
_161_,15.34
stage_4._0094_,15.32
stage_3.EN_feed,15.28
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[9\],15.24
stage_4._0379_,15.23
input_2.D_OUT\[38\],15.22
stage_2.read_output_2\[121\],15.16
stage_2.input_fifo$D_OUT\[146\],15.14
stage_2.read_output_2\[58\],15.12
stage_4._0440_,15.105
stage_2.input_fifo$D_OUT\[59\],15.1
stage_3._0047_,15.06
stage_2._0325_,15.04
stage_3._0367_,15.02
stage_3._0775_,15.02
_022_,14.94
input_1.D_OUT\[35\],14.94
stage_3._0404_,14.94
_003_,14.92
stage_2._0422_,14.92
stage_3._0495_,14.92
stage_3._0825_,14.92
stage_3._0500_,14.88
stage_2._0086_,14.85
stage_3._0571_,14.84
_044_,14.8
net303,14.8
stage_3._0859_,14.76
_099_,14.74
stage_3._0166_,14.74
stage_3._0186_,14.74
stage_4._0236_,14.74
net155,14.74
net316,14.74
stage_2.read_output_2\[83\],14.72
stage_2.read_output_2\[105\],14.7
stage_3.read_output_3\[24\],14.7
net203,14.67
stage_4._0036_,14.645
stage_2._0049_,14.64
stage_4._0087_,14.63
stage_3.read_output_3\[7\],14.6
_100_,14.58
stage_2.input_fifo$D_OUT\[140\],14.58
stage_3._0736_,14.56
stage_4._0305_,14.56
stage_2._0493_,14.555
stage_3._0655_,14.52
stage_4._0400_,14.52
stage_3._0305_,14.48
stage_3._0598_,14.48
_156_,14.44
stage_2._0468_,14.44
stage_4._0373_,14.44
stage_4._0567_,14.44
stage_3._0242_,14.42
stage_4._0352_,14.42
stage_4._0464_,14.42
stage_2._0058_,14.4
stage_4._0368_,14.4
stage_2._0047_,14.36
_111_,14.34
stage_3.input_fifo$D_OUT\[26\],14.32
stage_4._0033_,14.305
net262,14.3
stage_2.input_fifo$D_OUT\[128\],14.28
_117_,14.26
stage_4._0448_,14.26
stage_3._0144_,14.22
stage_3._0300_,14.18
stage_3._0309_,14.18
stage_3._0103_,14.12
stage_2._0051_,14.1
stage_3._0388_,14.1
stage_2.input_fifo.D_OUT\[0\],14.08
stage_3.input_fifo$D_OUT\[56\],14.08
stage_4._0003_,14.04
stage_2._0279_,14
stage_4._0038_,13.965
input_1.D_OUT\[51\],13.96
stage_4._0195_,13.96
stage_4._0436_,13.96
stage_3._0104_,13.94
stage_3._0322_,13.9
stage_2._0243_,13.86
stage_3._0864_,13.86
stage_4._0200_,13.86
stage_4._0252_,13.86
stage_2._0139_,13.84
stage_3.input_fifo$D_OUT\[120\],13.84
stage_3._0707_,13.82
stage_3._0332_,13.8
input_1._112_,13.78
stage_2._0511_,13.76
stage_3._0832_,13.76
stage_2.input_fifo$D_OUT\[144\],13.72
stage_3._0594_,13.72
stage_4._0111_,13.72
stage_4._0124_,13.72
net253,13.72
stage_4._0568_,13.705
net261,13.7
stage_3._0593_,13.68
stage_3._0768_,13.68
stage_4._0211_,13.68
stage_2.read_output_2\[45\],13.66
stage_3._0394_,13.65
stage_4._0323_,13.62
stage_3._0364_,13.6
stage_4._0298_,13.58
stage_2._0013_,13.54
stage_2._0112_,13.54
stage_2.read_output_2\[38\],13.54
stage_3._0792_,13.52
stage_3._0852_,13.52
stage_4._0122_,13.52
stage_2._0486_,13.5
stage_2._0517_,13.5
stage_3._0178_,13.5
stage_3._0264_,13.4
stage_3._0373_,13.4
stage_4._0044_,13.38
stage_4._0558_,13.38
stage_3._0451_,13.37
stage_3.read_output_3\[3\],13.34
stage_3.read_output_3\[5\],13.34
stage_4._0387_,13.34
stage_4.output_fifo.D_OUT\[21\],13.3
net386,13.3
stage_2._0377_,13.28
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[1\],13.28
stage_3._0732_,13.265
stage_4._0209_,13.24
stage_4._0549_,13.24
stage_3._0769_,13.22
stage_4._0227_,13.22
_137_,13.2
input_1.D_OUT\[37\],13.18
stage_3._0797_,13.18
stage_3._0830_,13.18
stage_2._0384_,13.16
stage_3.input_fifo$D_OUT\[2\],13.16
stage_4._0419_,13.16
stage_2._0128_,13.135
stage_3._0342_,13.12
stage_4._0597_,13.1
stage_2._0025_,13.08
stage_4._0135_,13.08
stage_4._0457_,13.06
stage_3._0575_,13.04
stage_4._0085_,13.02
stage_4._0050_,13
input_2.D_OUT\[36\],12.98
stage_3._0181_,12.98
stage_3._0253_,12.98
stage_3._0600_,12.97
stage_2._0037_,12.96
stage_2._0501_,12.96
stage_3._0534_,12.94
net254,12.92
stage_4._0355_,12.9
stage_3.read_output_3\[9\],12.88
_096_,12.86
stage_4._0517_,12.84
stage_3._0551_,12.82
stage_4.output_fifo.D_OUT\[55\],12.8
stage_3._0638_,12.73
stage_3._0452_,12.72
stage_3._0840_,12.72
input_1.D_OUT\[45\],12.715
stage_3._0090_,12.7
stage_4._0577_,12.7
stage_3._0275_,12.68
stage_3._0126_,12.66
stage_2._0576_,12.64
stage_3._0066_,12.64
stage_3._0770_,12.62
stage_4._0101_,12.62
stage_4._0612_,12.62
stage_4._0086_,12.615
stage_2._0592_,12.6
_028_,12.58
input_1.D_OUT\[1\],12.58
input_2.EMPTY_N,12.58
input_1.FULL_N,12.56
stage_2._0463_,12.54
stage_2._0094_,12.52
stage_4._0479_,12.52
stage_3._0109_,12.46
stage_4._0140_,12.46
stage_4.output_fifo.D_OUT\[54\],12.46
net390,12.46
stage_3._0502_,12.44
stage_3._0787_,12.42
stage_3._0140_,12.38
stage_3._0390_,12.38
stage_4._0222_,12.38
stage_4._0432_,12.36
net247,12.36
input_1._109_,12.34
stage_3._0013_,12.34
stage_3._0406_,12.34
stage_4._0578_,12.3
stage_3._0486_,12.26
stage_3._0252_,12.24
stage_4._0390_,12.24
stage_3._0334_,12.22
stage_3._0426_,12.18
RDY_read_output,12.16
stage_2.feed_output_stage_1\[137\],12.16
stage_3._0572_,12.16
stage_3._0256_,12.14
stage_4._0051_,12.14
input_2.D_OUT\[8\],12.12
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[46\],12.12
stage_4._0256_,12.12
stage_4._0138_,12.1
_114_,12.08
stage_4._0356_,12.08
stage_3._0464_,12.06
stage_4._0474_,12.06
clknet_leaf_35_CLK,12.06
_068_,12.04
net285,12.04
stage_2._0509_,11.98
stage_3._0371_,11.95
stage_2.input_fifo$D_OUT\[126\],11.94
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[50\],11.92
stage_4._0541_,11.92
_052_,11.9
stage_3._0042_,11.9
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[43\],11.9
_094_,11.88
stage_2.RDY_read_output_2,11.88
stage_3._0788_,11.88
stage_4._0019_,11.88
stage_4._0371_,11.84
stage_4._0470_,11.84
input_2.D_OUT\[51\],11.78
stage_3._0716_,11.78
stage_3._0734_,11.74
stage_2._0404_,11.72
stage_4._0303_,11.72
stage_3._0616_,11.66
stage_4._0338_,11.66
net351,11.66
stage_2._0195_,11.64
stage_3._0636_,11.64
input_1._041_,11.625
_107_,11.61
stage_2._0492_,11.6
_085_,11.58
stage_2._0496_,11.56
stage_3._0758_,11.56
stage_2._0513_,11.54
stage_2.read_output_2\[12\],11.54
stage_4.output_fifo.D_OUT\[64\],11.54
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[17\],11.5
stage_4._0311_,11.5
net401,11.5
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[11\],11.48
stage_4._0546_,11.44
stage_4._0083_,11.42
stage_3._0573_,11.4
stage_2.input_fifo$D_OUT\[142\],11.38
stage_3._0214_,11.38
net158,11.38
stage_3._0467_,11.36
stage_3.input_fifo.D_OUT\[0\],11.36
stage_4._0066_,11.36
stage_3._0189_,11.34
stage_3._0800_,11.34
input_1.D_OUT\[3\],11.32
input_1._099_,11.32
stage_3._0284_,11.32
stage_4._0238_,11.32
stage_4._0269_,11.32
stage_2.read_output_2\[28\],11.3
stage_3.input_fifo._162_,11.28
RDY_feed,11.26
stage_3.input_fifo$D_OUT\[4\],11.26
stage_3._0774_,11.25
input_1.D_OUT\[6\],11.24
stage_4._0176_,11.24
stage_4._0515_,11.24
net372,11.24
stage_2._0040_,11.225
_139_,11.2
input_2.D_OUT\[18\],11.2
stage_4._0127_,11.2
stage_4.output_fifo._075_,11.2
net223,11.2
stage_3._0856_,11.195
stage_4._0080_,11.18
stage_4._0505_,11.18
_145_,11.12
stage_2.input_fifo._158_,11.12
stage_3._0723_,11.12
stage_3.read_output_3\[45\],11.12
stage_4.output_fifo.D_OUT\[50\],11.12
input_2.D_OUT\[0\],11.1
stage_3._0574_,11.08
stage_4._0402_,11.08
stage_4._0559_,11.08
stage_2.read_output_2\[125\],11.06
stage_4._0144_,11.04
stage_2._0227_,11.03
stage_2._0056_,10.96
stage_3._0362_,10.96
stage_2.read_output_2\[50\],10.94
stage_3._0071_,10.94
is_valid.FULL_N,10.935
stage_2._0022_,10.92
_082_,10.905
stage_4._0069_,10.9
stage_4._0533_,10.9
net371,10.9
stage_3._0353_,10.88
stage_3._0816_,10.88
stage_4._0504_,10.86
stage_2._0096_,10.82
stage_2.read_output_2\[82\],10.82
_177_,10.8
stage_2._0544_,10.8
stage_3.read_output_3\[48\],10.8
stage_3._0160_,10.79
input_1._117_,10.78
stage_3._0614_,10.78
stage_2.feed_output_stage_1\[144\],10.76
_151_,10.74
stage_3._0565_,10.74
stage_4._0369_,10.72
stage_4.output_fifo$FULL_N,10.72
stage_2._0089_,10.71
_046_,10.7
stage_2._0028_,10.7
stage_2._0444_,10.68
stage_4._0214_,10.66
stage_4._0551_,10.66
stage_3.input_fifo$D_OUT\[119\],10.64
stage_3.read_output_3\[38\],10.64
net382,10.64
stage_2.input_fifo$D_OUT\[148\],10.62
stage_3._0142_,10.58
stage_3.read_output_3\[29\],10.58
stage_4._0275_,10.58
stage_2.input_fifo._173_,10.56
stage_3._0424_,10.54
stage_3.input_fifo._174_,10.54
stage_2.read_output_2\[109\],10.52
stage_3._0666_,10.52
stage_2._0061_,10.51
stage_2.input_fifo$D_OUT\[138\],10.5
stage_3._0433_,10.48
stage_4._0113_,10.46
input_2._098_,10.44
stage_2.read_output_2\[24\],10.44
stage_4._0062_,10.44
stage_4._0073_,10.44
stage_4._0075_,10.44
stage_4.output_fifo.D_OUT\[63\],10.44
stage_3._0192_,10.42
stage_3._0389_,10.42
stage_3._0418_,10.42
stage_3._0596_,10.42
stage_2._0397_,10.4
stage_2._0459_,10.4
stage_3._0714_,10.4
stage_4._0018_,10.38
stage_4.output_fifo._038_,10.365
stage_3._0052_,10.36
stage_2._0391_,10.34
stage_2._0408_,10.34
stage_3._0715_,10.325
input_1._120_,10.32
stage_2._0549_,10.32
stage_3._0195_,10.295
stage_3._0159_,10.24
stage_4._0108_,10.24
stage_2.input_fifo._073_,10.225
_174_,10.2
input_2.D_OUT\[6\],10.2
stage_2.read_output_2\[47\],10.2
stage_3._0346_,10.2
stage_4._0646_,10.18
stage_4.output_fifo.D_OUT\[24\],10.16
input_2._065_,10.14
input_2._033_,10.125
stage_4.output_fifo._049_,10.125
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[10\],10.12
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[48\],10.12
stage_4._0399_,10.12
net359,10.12
input_1._101_,10.1
input_2._084_,10.1
stage_2.input_fifo._003_,10.085
stage_2._0024_,10.08
stage_2.input_fifo$D_OUT\[125\],10.04
stage_2.read_output_2\[25\],10.04
stage_3._0650_,10.04
stage_4.output_fifo.D_OUT\[42\],10.04
_160_,10
stage_2._0234_,9.99
feed_input_1[13],9.98
feed_input_1[3],9.98
feed_input_1[4],9.98
feed_input_1[5],9.98
feed_input_1[63],9.98
feed_input_1[6],9.98
feed_input_1[8],9.98
feed_input_1[9],9.98
stage_3._0020_,9.98
stage_3._0690_,9.98
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[21\],9.98
net345,9.98
_171_,9.96
stage_3._0717_,9.96
stage_4._0608_,9.96
stage_4._0478_,9.9
stage_3._0851_,9.88
stage_4.input_fifo._105_,9.88
net164,9.88
stage_3._0538_,9.86
stage_4._0321_,9.86
stage_4._0598_,9.86
input_2.D_OUT\[42\],9.835
input_2.D_OUT\[44\],9.8
stage_3._0789_,9.8
stage_4.output_fifo._078_,9.8
stage_4.output_fifo._083_,9.8
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[3\],9.78
_110_,9.76
stage_2.read_output_2\[43\],9.76
_084_,9.73
_165_,9.72
net365,9.72
input_1.D_OUT\[20\],9.7
stage_3._0867_,9.7
stage_2._0035_,9.68
stage_2._0389_,9.66
stage_3.read_output_3\[47\],9.66
net347,9.66
feed_input_1[49],9.64
feed_input_1[50],9.64
feed_input_1[51],9.64
feed_input_1[52],9.64
feed_input_1[53],9.64
feed_input_1[54],9.64
feed_input_1[57],9.64
feed_input_1[58],9.64
feed_input_1[59],9.64
feed_input_1[60],9.64
feed_input_1[61],9.64
feed_input_2[52],9.64
feed_input_2[54],9.64
feed_input_2[58],9.64
feed_input_2[60],9.64
feed_input_2[62],9.64
feed_input_2[63],9.64
feed_is_valid,9.64
stage_2.input_fifo$D_OUT\[136\],9.62
stage_3._0742_,9.62
stage_3.input_fifo$D_OUT\[125\],9.62
stage_4._0043_,9.62
stage_4._0486_,9.62
stage_2.feed_output_stage_1\[146\],9.6
stage_3._0135_,9.6
stage_4._0185_,9.6
input_1.D_OUT\[34\],9.58
stage_2.input_fifo$D_OUT\[141\],9.58
stage_2.read_output_2\[94\],9.58
stage_3._0064_,9.58
stage_3._0093_,9.58
stage_3.input_fifo$D_OUT\[118\],9.58
input_2._017_,9.565
net230,9.54
input_2._010_,9.525
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[61\],9.52
stage_4._0077_,9.52
stage_3._0560_,9.5
stage_3._0582_,9.5
stage_3._0858_,9.5
stage_4._0031_,9.5
stage_2.feed_output_stage_1\[143\],9.48
stage_3._0526_,9.48
stage_3._0550_,9.48
net235,9.48
stage_3._0376_,9.46
stage_4._0456_,9.46
stage_4.input_fifo$D_OUT\[68\],9.46
input_2._079_,9.44
stage_3._0102_,9.44
stage_3._0601_,9.44
stage_3._0731_,9.44
input_2._102_,9.42
stage_2._0526_,9.42
stage_2._0580_,9.42
stage_2.input_fifo._256_,9.42
stage_2.input_fifo._263_,9.42
stage_3._0211_,9.42
stage_4.input_fifo._076_,9.42
stage_3._0546_,9.4
stage_4._0651_,9.38
stage_2.input_fifo._281_,9.36
stage_3._0133_,9.36
stage_3._0555_,9.36
stage_3._0857_,9.36
stage_4._0477_,9.36
stage_2.input_fifo._293_,9.34
stage_3.input_fifo$D_OUT\[122\],9.34
stage_4._0065_,9.34
input_2._002_,9.325
stage_3._0749_,9.32
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[8\],9.32
stage_4._0523_,9.32
stage_3._0466_,9.28
stage_2._0093_,9.26
stage_2._0467_,9.26
stage_3._0182_,9.26
stage_4.output_fifo.D_OUT\[61\],9.26
net388,9.26
stage_2._0361_,9.24
stage_3._0206_,9.24
input_2._069_,9.22
net243,9.22
stage_3._0603_,9.2
net397,9.2
stage_4._0554_,9.16
stage_4.output_fifo.D_OUT\[5\],9.16
_088_,9.14
net336,9.14
_159_,9.12
stage_4._0544_,9.12
stage_3._0175_,9.1
stage_2._0469_,9.08
stage_2.read_output_2\[114\],9.08
stage_2.read_output_2\[87\],9.08
stage_4._0580_,9.08
feed_input_1[10],9.06
feed_input_1[11],9.06
feed_input_1[12],9.06
feed_input_1[14],9.06
feed_input_1[15],9.06
feed_input_1[7],9.06
stage_2._0565_,9.06
stage_2.read_output_2\[90\],9.06
stage_3._0557_,9.06
stage_2._0573_,9.04
stage_2.input_fifo$D_OUT\[135\],9.04
stage_3._0045_,9.04
stage_3._0554_,9.04
stage_3._0591_,9.04
stage_3._0155_,9.02
stage_3._0490_,9.02
stage_4.output_fifo._077_,9.02
stage_2.input_fifo$D_OUT\[147\],9
stage_3.input_fifo$D_OUT\[3\],9
stage_4._0415_,9
stage_3._0127_,8.99
stage_3._0693_,8.98
stage_4._0516_,8.98
stage_3._0292_,8.96
stage_3._0670_,8.96
stage_4._0268_,8.96
stage_3._0000_,8.94
stage_3.input_fifo._027_,8.925
input_1._110_,8.9
input_2.D_OUT\[31\],8.9
stage_2._0464_,8.9
stage_2.read_output_2\[46\],8.9
stage_3._0470_,8.9
stage_3._0363_,8.86
stage_3._0784_,8.85
EN_feed,8.84
stage_2._0178_,8.82
stage_3._0805_,8.82
stage_4._0183_,8.82
stage_2.read_output_2\[13\],8.8
stage_3._0818_,8.8
stage_4.output_fifo.D_OUT\[25\],8.78
stage_4.output_fifo.D_OUT\[2\],8.78
_178_,8.76
stage_3._0254_,8.74
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[37\],8.74
RST_N,8.72
feed_input_1[48],8.72
feed_input_1[55],8.72
feed_input_1[56],8.72
feed_input_1[62],8.72
feed_input_2[53],8.72
feed_input_2[55],8.72
feed_input_2[56],8.72
feed_input_2[57],8.72
feed_input_2[59],8.72
feed_input_2[61],8.72
_120_,8.7
stage_3._0799_,8.7
stage_3.input_fifo$D_OUT\[117\],8.7
stage_3.read_output_3\[66\],8.7
stage_4._0129_,8.7
stage_4._0570_,8.66
stage_4._0145_,8.64
stage_2._0348_,8.6
stage_2._0385_,8.6
stage_2.feed_output_stage_1\[129\],8.6
stage_2.read_output_2\[39\],8.6
stage_3._0067_,8.6
stage_3._0621_,8.6
stage_3._0847_,8.6
stage_4._0341_,8.6
stage_4._0481_,8.6
stage_4._0596_,8.6
net146,8.6
stage_3._0423_,8.58
stage_4._0107_,8.58
stage_4.output_fifo._126_,8.58
net400,8.58
stage_2._0462_,8.56
stage_2.feed_output_stage_1\[120\],8.56
stage_2.read_output_2\[91\],8.56
stage_3._0173_,8.56
stage_3._0783_,8.56
net255,8.56
stage_2._0449_,8.54
stage_2.input_fifo._055_,8.525
stage_2.input_fifo._066_,8.525
stage_3._0733_,8.52
stage_2._0520_,8.5
stage_3._0401_,8.5
stage_3._0759_,8.5
stage_4.output_fifo._098_,8.5
input_2._082_,8.48
stage_2._0431_,8.48
stage_3._0398_,8.48
stage_2._0379_,8.46
input_1._081_,8.44
input_1._138_,8.44
input_2._101_,8.44
stage_4._0098_,8.44
input_1._131_,8.42
stage_4._0642_,8.42
input_1._113_,8.4
stage_2._0262_,8.4
stage_3._0123_,8.4
stage_2._0246_,8.38
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[15\],8.38
stage_4.input_fifo._069_,8.365
_097_,8.36
stage_3._0425_,8.36
net391,8.36
stage_3._0024_,8.355
stage_2.input_fifo._319_,8.34
stage_2.read_output_2\[55\],8.34
stage_3._0405_,8.34
stage_4.input_fifo._144_,8.34
stage_3._0696_,8.32
net398,8.32
stage_4.output_fifo._007_,8.305
stage_4.output_fifo._024_,8.305
stage_3.input_fifo._267_,8.3
stage_2._0254_,8.28
stage_3._0313_,8.28
stage_3.read_output_3\[42\],8.26
stage_4._0446_,8.26
net355,8.24
stage_3._0137_,8.22
stage_3._0384_,8.22
stage_4._0645_,8.22
stage_2._0041_,8.21
stage_2._0507_,8.2
stage_3._0217_,8.2
stage_3._0631_,8.2
stage_4._0225_,8.2
net370,8.2
stage_3._0586_,8.16
stage_4._0413_,8.16
stage_4._0600_,8.16
stage_4._0607_,8.16
_081_,8.14
stage_2.input_fifo._191_,8.14
stage_3._0029_,8.14
stage_3._0196_,8.14
stage_3._0473_,8.14
stage_3._0529_,8.14
stage_4._0542_,8.14
stage_2._0060_,8.12
stage_3._0318_,8.12
stage_3._0798_,8.12
stage_2.input_fifo$D_OUT\[131\],8.1
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[7\],8.08
stage_4.output_fifo._011_,8.065
input_2._081_,8.06
stage_3.input_fifo._166_,8.06
stage_4._0034_,8.06
stage_4._0141_,8.06
stage_4.input_fifo._067_,8.06
_067_,8.04
_188_,8.04
stage_3._0171_,8.04
stage_3._0570_,8.04
stage_4._0328_,8.04
stage_4._0376_,8.04
stage_3._0143_,8.02
stage_4._0084_,8.02
stage_4._0630_,8.02
stage_4.output_fifo.D_OUT\[4\],8.02
net272,8.02
net313,8.02
stage_3._0176_,8
input_1._118_,7.98
stage_2._0583_,7.98
stage_2.input_fifo._287_,7.98
stage_3._0232_,7.98
stage_3._0499_,7.98
stage_3._0641_,7.98
stage_3.input_fifo._167_,7.96
stage_4._0115_,7.96
_063_,7.94
stage_2.input_fifo._265_,7.94
input_1.D_OUT\[21\],7.92
stage_3._0190_,7.92
stage_3.read_output_3\[65\],7.92
net242,7.92
net299,7.92
input_2._096_,7.9
stage_2._0284_,7.9
stage_3._0180_,7.9
stage_3._0335_,7.9
stage_3._0347_,7.9
stage_3._0386_,7.88
stage_4._0648_,7.88
stage_2._0052_,7.87
stage_3._0803_,7.86
stage_3._0844_,7.86
stage_4._0296_,7.82
stage_4._0453_,7.82
read_output[42],7.81
net364,7.8
input_1.D_OUT\[30\],7.78
stage_2.read_output_2\[57\],7.78
stage_3._0065_,7.78
stage_4._0428_,7.78
stage_2.read_output_2\[99\],7.76
stage_3._0506_,7.76
stage_2._0098_,7.74
stage_3._0058_,7.74
stage_2.input_fifo.D_OUT\[150\],7.7
stage_2.read_output_2\[98\],7.7
input_2._109_,7.68
stage_3._0678_,7.68
stage_4.output_fifo.D_OUT\[29\],7.68
stage_4._0445_,7.675
stage_2.input_fifo._126_,7.665
stage_2._0042_,7.66
stage_3._0407_,7.66
net159,7.66
stage_2.input_fifo._196_,7.64
stage_3._0172_,7.64
stage_4._0410_,7.64
stage_4._0555_,7.64
net374,7.64
stage_4._0629_,7.62
input_1._102_,7.6
input_2._090_,7.6
stage_2._0461_,7.6
stage_2.input_fifo._192_,7.6
stage_4._0469_,7.6
stage_4._0575_,7.6
stage_4.input_fifo._148_,7.6
stage_2.input_fifo._224_,7.58
stage_4._0526_,7.58
stage_4._0613_,7.58
stage_4.input_fifo._068_,7.565
input_2.D_OUT\[4\],7.56
stage_2._0548_,7.56
stage_2.input_fifo$D_OUT\[139\],7.56
stage_2.input_fifo._260_,7.56
stage_3.input_fifo._265_,7.56
stage_4.input_fifo._134_,7.56
net405,7.56
stage_2.input_fifo._133_,7.545
stage_3._0003_,7.54
stage_2.input_fifo._135_,7.525
_166_,7.52
input_2._097_,7.52
stage_2._0475_,7.52
stage_2.input_fifo._206_,7.52
stage_2.input_fifo._315_,7.52
stage_3._0076_,7.52
stage_3._0087_,7.52
stage_4._0274_,7.52
stage_4.output_fifo.D_OUT\[14\],7.52
net163,7.52
net250,7.52
stage_3._0639_,7.5
stage_4.output_fifo._080_,7.5
stage_4._0219_,7.48
read_output[54],7.47
stage_3._0187_,7.46
stage_3._0413_,7.46
stage_3._0741_,7.46
stage_4.input_fifo._008_,7.46
net276,7.46
stage_4.input_fifo._040_,7.445
_140_,7.44
stage_2.input_fifo._201_,7.44
stage_3._0569_,7.44
net268,7.44
input_2._124_,7.42
stage_3.input_fifo$D_OUT\[123\],7.42
stage_3._0771_,7.4
